escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 tapado,4,1,Presion alta,Contragolpe,77100,true,3.0,0.0,3.0,11.0,53.9583333333333,34.0,29.0,53.0,4.0,0.0,0.0,0.0,0.0,1011.0,89.3112727272727,0.0,1011.0,61.6883116883117,23.837784371909,45.0,2.63888888888889,12.0,17688.1031175293,358.683,405.171
D1 tapado,4,1,Presion alta,Contragolpe,77113,true,3.0,0.0,3.0,9.0,48.2014388489209,36.0,21.0,47.0,4.0,0.0,0.0,3.0,0.0,999.0,90.9247272727273,0.0,999.0,57.6011157601116,28.2282282282282,36.0,2.86805555555556,9.0,17232.2135733453,300.161,363.36
D1 tapado,4,1,Presion alta,Contragolpe,77126,true,1.0,0.0,1.0,12.0,52.9411764705882,34.0,22.0,50.0,1.0,0.0,0.0,1.0,0.0,1039.0,91.036,0.0,1039.0,53.5452322738386,21.2704523580366,39.0,2.80769230769231,12.0,18955.5597423752,349.955,391.293
D1 tapado,4,1,Presion alta,Contragolpe,77139,true,5.0,0.0,5.0,8.0,54.9889135254989,33.0,25.0,54.0,5.0,0.0,0.0,4.0,1.0,1050.0,88.372,0.0,1050.0,58.9403973509934,28.0952380952381,33.0,3.37121212121212,9.0,15973.9703537007,322.209,386.752
D1 tapado,4,1,Presion alta,Contragolpe,77152,true,5.0,0.0,5.0,13.0,53.2608695652174,42.0,23.0,54.0,1.0,0.0,0.0,1.0,0.0,966.0,90.3290909090909,0.0,966.0,59.4805194805195,20.2898550724638,41.0,2.79268292682927,7.0,19367.8158649588,375.719,389.676
D1 tapado,4,1,Presion alta,Contragolpe,77165,true,9.0,0.0,9.0,12.0,48.9230769230769,38.0,11.0,45.0,4.0,1.0,0.0,2.0,0.0,977.0,90.7447272727273,0.0,977.0,51.8578352180937,36.6427840327533,25.0,3.21,7.0,15338.1302792749,278.469,326.739
D1 tapado,4,1,Presion alta,Contragolpe,77178,true,6.0,0.0,6.0,9.0,49.4871794871795,40.0,18.0,54.0,3.0,0.0,0.0,1.0,0.0,960.0,90.8494545454545,0.0,960.0,53.75,25.0,33.0,2.93181818181818,5.0,17465.1462699389,328.461,372.612
D1 tapado,4,1,Presion alta,Contragolpe,77191,true,0.0,0.0,0.0,4.0,56.2240663900415,45.0,17.0,58.0,2.0,0.0,0.0,1.0,0.0,960.0,92.0767272727273,0.0,960.0,54.6803652968037,8.75,28.0,4.27678571428571,7.0,22437.2082322245,352.555,424.379
D1 tapado,4,1,Presion alta,Contragolpe,77204,true,4.0,0.0,4.0,10.0,53.6036036036036,37.0,22.0,53.0,3.0,0.0,0.0,2.0,0.0,1013.0,90.1850909090909,0.0,1013.0,57.5360419397117,24.6791707798618,39.0,2.81410256410256,10.0,17640.6379392223,340.615,350.099
D1 tapado,4,1,Presion alta,Contragolpe,77217,true,1.0,0.0,1.0,7.0,48.6542443064182,34.0,22.0,47.0,3.0,0.0,2.0,0.0,0.0,1003.0,88.5749090909091,0.0,1003.0,62.2222222222222,23.728813559322,40.0,2.975,11.0,16448.398206192,311.836,358.139
D1 tapado,4,1,Presion alta,Contragolpe,77230,true,6.0,0.0,6.0,10.0,44.6254071661238,24.0,14.0,36.0,4.0,1.0,0.0,3.0,1.0,1007.0,89.8152727272727,0.0,1007.0,49.2561983471074,39.9205561072493,28.0,2.66071428571429,5.0,14240.0217187878,263.163,282.719
