escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 tapado,4,1,Presion alta,Contragolpe,77230,true,3.0,0.0,3.0,10.0,52.3076923076923,29.0,19.0,39.0,5.0,0.0,0.0,2.0,0.0,967.0,90.7185454545454,0.0,967.0,57.2496263079223,30.8169596690796,39.0,2.45512820512821,11.0,16150.144795307,244.96,276.948
D1 tapado,4,1,Presion alta,Contragolpe,77243,true,6.0,0.0,6.0,11.0,36.5284974093264,40.0,13.0,48.0,2.0,0.0,0.0,1.0,0.0,1043.0,90.0378181818182,0.0,1043.0,53.5112359550562,31.7353787152445,31.0,3.07258064516129,4.0,16595.1144023841,275.875,314.328
D5 parejo,5,5,Tiki taka,Juego directo,77100,true,4.0,4.0,0.0,10.0,54.0865384615385,50.0,15.0,59.0,5.0,0.0,0.0,0.0,0.0,995.0,87.6487272727273,0.0,995.0,54.9465240641711,24.8241206030151,32.0,3.2109375,6.0,16633.2375856033,272.161,308.567
D5 parejo,5,5,Tiki taka,Juego directo,77113,true,3.0,0.0,3.0,6.0,46.606334841629,43.0,27.0,63.0,4.0,1.0,0.0,3.0,0.0,963.0,89.6221818181818,0.0,963.0,58.1673306772908,21.8068535825545,37.0,2.95945945945946,9.0,17204.1794775281,282.122,318.168
D5 parejo,5,5,Tiki taka,Juego directo,77126,true,2.0,1.0,1.0,5.0,58.4444444444444,49.0,25.0,69.0,3.0,0.0,0.0,2.0,0.0,1007.0,90.3618181818182,0.0,1007.0,55.5417185554172,20.2581926514399,36.0,3.09722222222222,8.0,18503.1304425952,327.937,364.789
D5 parejo,5,5,Tiki taka,Juego directo,77139,true,0.0,0.0,0.0,5.0,54.9618320610687,48.0,27.0,68.0,2.0,0.0,0.0,1.0,0.0,998.0,86.0876363636363,0.0,998.0,61.4928909952607,15.4308617234469,41.0,3.16463414634146,9.0,16730.3674933871,316.609,351.046
D5 parejo,5,5,Tiki taka,Juego directo,77152,true,4.0,1.0,3.0,8.0,46.3562753036437,47.0,27.0,64.0,1.0,0.0,0.0,1.0,0.0,976.0,90.2145454545455,0.0,976.0,60.0979192166463,16.2909836065574,42.0,2.92261904761905,8.0,18883.0797441647,311.795,345.062
D5 parejo,5,5,Tiki taka,Juego directo,77165,true,4.0,0.0,4.0,10.0,46.7741935483871,46.0,19.0,62.0,3.0,0.0,0.0,0.0,0.0,1043.0,89.2065454545454,0.0,1043.0,56.151832460733,26.7497603068073,36.0,2.97916666666667,8.0,15645.1574303697,298.766,333.687
D5 parejo,5,5,Tiki taka,Juego directo,77178,true,3.0,1.0,2.0,10.0,44.8837209302326,42.0,18.0,62.0,1.0,0.0,0.0,1.0,0.0,1014.0,89.5076363636364,0.0,1014.0,55.2393272962484,23.767258382643,34.0,3.13970588235294,6.0,17751.3938447953,296.966,331.438
D5 parejo,5,5,Tiki taka,Juego directo,77191,true,2.0,2.0,0.0,9.0,60.4444444444444,49.0,19.0,69.0,2.0,0.0,1.0,0.0,0.0,960.0,91.5596363636364,0.0,960.0,55.638166047088,15.9375,37.0,3.03378378378378,11.0,19447.1893113471,292.798,330.19
D5 parejo,5,5,Tiki taka,Juego directo,77204,true,2.0,2.0,0.0,8.0,52.6442307692308,47.0,20.0,65.0,1.0,0.0,0.0,1.0,0.0,960.0,92.2665454545455,0.0,960.0,52.5510204081633,18.3333333333333,38.0,2.71052631578947,13.0,18288.0814672118,287.627,313.193
D5 parejo,5,5,Tiki taka,Juego directo,77217,true,3.0,2.0,1.0,8.0,53.4939759036145,38.0,16.0,55.0,2.0,0.0,0.0,1.0,0.0,979.0,89.4290909090909,0.0,979.0,56.6298342541436,26.046986721144,34.0,3.01470588235294,8.0,15116.738848664,272.806,301.117
D5 parejo,5,5,Tiki taka,Juego directo,77230,true,3.0,2.0,1.0,6.0,57.3394495412844,42.0,17.0,55.0,3.0,0.0,0.0,2.0,0.0,975.0,87.976,0.0,975.0,58.14266487214,23.7948717948718,35.0,3.08571428571429,5.0,16677.4694975933,276.161,311.379
D5 parejo,5,5,Tiki taka,Juego directo,77243,true,3.0,1.0,2.0,6.0,42.5790754257908,51.0,17.0,66.0,3.0,1.0,0.0,0.0,0.0,1017.0,91.5465454545455,0.0,1017.0,53.8258575197889,25.4670599803343,29.0,3.51724137931034,6.0,17016.6923564867,285.594,320.094
D5 parejo,5,5,Presion alta,Contragolpe,77100,true,3.0,3.0,0.0,8.0,54.9382716049383,46.0,16.0,56.0,1.0,0.0,0.0,0.0,0.0,1035.0,90.1490909090909,0.0,1035.0,58.4837545126354,19.7101449275362,30.0,4.05,3.0,17057.4721538204,296.326,337.86
